Player,SEASON_ID,PPG,RPG,APG,BPG,SPG,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FG_PCT,FG3_PCT,FTM,FTA,FT_PCT,Player,TOVPG,PFPG,FG3MPG,FG3APG,FGMPG,FGAPG,OREBPG
Darrun Hilliard,2015-16,4.0,1.18,0.71,0.03,0.24,DET,23.0,38,2,383,0.397,0.38,29,40,0.725,Darrun Hilliard,0.5,0.7,0.5,1.32,1.37,3.45,0.13
Darrun Hilliard,2016-17,3.26,0.85,0.85,0.05,0.28,DET,24.0,39,1,381,0.373,0.261,21,28,0.75,Darrun Hilliard,0.72,1.0,0.31,1.18,1.21,3.23,0.05
Darrun Hilliard,2017-18,1.14,0.5,0.79,0.0,0.14,SAS,25.0,14,0,95,0.263,0.0,6,7,0.857,Darrun Hilliard,0.29,0.5,0.0,0.43,0.36,1.36,0.0
Kirk Hinrich,2003-04,12.04,3.41,6.8,0.28,1.33,CHI,23.0,76,66,2709,0.386,0.39,135,168,0.804,Kirk Hinrich,2.68,3.6,1.89,4.86,4.18,10.83,0.55
Kirk Hinrich,2004-05,15.66,3.95,6.42,0.27,1.58,CHI,24.0,77,77,2801,0.397,0.355,171,216,0.792,Kirk Hinrich,2.29,3.2,1.88,5.3,5.78,14.57,0.42
Kirk Hinrich,2005-06,15.85,3.56,6.35,0.26,1.16,CHI,25.0,81,81,2955,0.418,0.37,256,314,0.815,Kirk Hinrich,2.32,3.1,1.56,4.21,5.57,13.31,0.36
Kirk Hinrich,2006-07,16.59,3.42,6.25,0.29,1.25,CHI,26.0,80,80,2839,0.448,0.415,237,284,0.835,Kirk Hinrich,2.39,3.4,1.75,4.21,5.94,13.26,0.4
Kirk Hinrich,2007-08,11.49,3.25,6.03,0.25,1.16,CHI,27.0,75,72,2380,0.414,0.35,118,142,0.831,Kirk Hinrich,2.09,3.0,1.12,3.2,4.4,10.63,0.37
Kirk Hinrich,2008-09,9.86,2.41,3.86,0.37,1.29,CHI,28.0,51,4,1339,0.437,0.408,68,86,0.791,Kirk Hinrich,1.71,2.5,1.35,3.31,3.59,8.22,0.31
Kirk Hinrich,2009-10,10.88,3.51,4.46,0.32,1.15,CHI,29.0,74,53,2481,0.409,0.371,85,113,0.752,Kirk Hinrich,1.53,2.8,1.41,3.78,4.16,10.18,0.32
Kirk Hinrich,2010-11,11.06,2.69,4.38,0.21,1.17,WAS,30.0,48,29,1471,0.452,0.384,92,105,0.876,Kirk Hinrich,1.75,2.5,0.9,2.33,4.12,9.12,0.29
Kirk Hinrich,2010-11,8.58,2.21,3.25,0.29,0.79,ATL,30.0,24,22,686,0.432,0.421,14,21,0.667,Kirk Hinrich,1.54,2.8,1.33,3.17,3.33,7.71,0.29
Kirk Hinrich,2010-11,10.24,2.53,4.0,0.24,1.04,TOT,30.0,72,51,2157,0.446,0.399,106,126,0.841,Kirk Hinrich,1.68,2.6,1.04,2.61,3.86,8.65,0.29
Kirk Hinrich,2011-12,6.58,2.1,2.75,0.23,0.79,ATL,31.0,48,31,1237,0.414,0.346,25,32,0.781,Kirk Hinrich,1.21,2.1,0.98,2.83,2.54,6.15,0.23
Kirk Hinrich,2012-13,7.65,2.63,5.23,0.42,1.05,CHI,32.0,60,60,1764,0.377,0.39,70,98,0.714,Kirk Hinrich,1.65,3.2,1.18,3.03,2.65,7.03,0.27
Kirk Hinrich,2013-14,9.12,2.63,3.92,0.36,1.1,CHI,33.0,73,61,2116,0.393,0.351,95,125,0.76,Kirk Hinrich,1.64,2.8,1.16,3.32,3.33,8.48,0.42
Kirk Hinrich,2014-15,5.71,1.83,2.24,0.21,0.7,CHI,34.0,66,22,1610,0.373,0.345,35,50,0.7,Kirk Hinrich,1.11,2.2,0.88,2.55,2.15,5.77,0.3
Kirk Hinrich,2015-16,3.77,1.66,1.69,0.03,0.37,CHI,35.0,35,7,555,0.398,0.411,15,16,0.938,Kirk Hinrich,0.77,1.8,0.66,1.6,1.34,3.37,0.2
Kirk Hinrich,2015-16,0.45,1.09,1.27,0.09,0.18,ATL,35.0,11,0,76,0.182,0.167,0,0,0.0,Kirk Hinrich,0.27,0.1,0.09,0.55,0.18,1.0,0.09
Kirk Hinrich,2015-16,2.98,1.52,1.59,0.04,0.33,TOT,35.0,46,7,631,0.38,0.387,15,16,0.938,Kirk Hinrich,0.65,1.4,0.52,1.35,1.07,2.8,0.17
Nate Hinton,2020-21,1.95,0.43,0.38,0.1,0.33,DAL,22.0,21,0,93,0.357,0.211,7,10,0.7,Nate Hinton,0.24,0.4,0.19,0.9,0.71,2.0,0.05
Nate Hinton,2021-22,0.0,0.0,0.0,0.0,0.0,IND,23.0,2,0,2,0.0,0.0,0,0,0.0,Nate Hinton,0.5,0.0,0.0,0.0,0.0,0.5,0.0
Nate Hinton,2023-24,2.2,1.47,0.67,0.13,0.2,HOU,25.0,15,0,75,0.423,0.5,4,5,0.8,Nate Hinton,0.2,0.7,0.47,0.93,0.73,1.73,0.47
Jaylen Hoard,2019-20,2.92,2.46,0.31,0.0,0.38,POR,21.0,13,0,103,0.469,0.0,8,13,0.615,Jaylen Hoard,0.31,0.9,0.0,0.23,1.15,2.46,1.08
Jaylen Hoard,2020-21,6.11,3.42,1.26,0.26,0.68,OKC,22.0,19,0,320,0.5,0.0,28,41,0.683,Jaylen Hoard,0.89,1.0,0.0,0.58,2.32,4.63,1.11
Jaylen Hoard,2021-22,14.71,12.0,2.43,0.71,0.86,OKC,23.0,7,5,240,0.489,0.36,6,14,0.429,Jaylen Hoard,1.14,2.0,1.29,3.57,6.29,12.86,4.29
Julius Hodge,2005-06,0.93,0.5,0.43,0.0,0.14,DEN,22.0,14,0,33,0.385,0.0,3,8,0.375,Julius Hodge,0.57,0.5,0.0,0.0,0.36,0.93,0.36
Julius Hodge,2006-07,1.5,0.75,2.5,0.0,0.75,DEN,23.0,4,1,37,0.4,0.0,2,2,1.0,Julius Hodge,0.25,0.8,0.0,0.0,0.5,1.25,0.25
Julius Hodge,2006-07,1.8,1.0,0.4,0.0,0.2,MIL,23.0,5,0,28,0.571,0.0,1,2,0.5,Julius Hodge,0.4,0.6,0.0,0.0,0.8,1.4,0.2
Julius Hodge,2006-07,1.67,0.89,1.33,0.0,0.44,TOT,23.0,9,1,64,0.5,0.0,3,4,0.75,Julius Hodge,0.33,0.7,0.0,0.0,0.67,1.33,0.22
Randy Holcomb,2005-06,0.5,0.25,0.0,0.0,0.0,CHI,26.0,4,0,11,1.0,0.0,0,0,0.0,Randy Holcomb,0.0,0.5,0.0,0.0,0.25,0.25,0.25
Aaron Holiday,2018-19,5.88,1.34,1.74,0.26,0.42,IND,22.0,50,0,646,0.401,0.339,41,50,0.82,Aaron Holiday,0.8,1.4,0.86,2.54,2.1,5.24,0.1
